taxonID hash,scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,establishment means,degree of establishment,introduction pathway 1,introduction pathway 2,introduction pathway 3,introduction pathway 4,introduction pathway 5,introduction pathway 6,introduction pathway 7,date first observation,date last observation,source,occurrence remarks,native range,terrestrial,marine,freshwater,host,abundance,threat status,date added,added by,verified by
10f2c21e38d910bcc489e526cb5706da,Corbicula fluminea,Animalia,Animalia,Mollusca,,,,species,,Mainland,PT,,,,otherTransport,,,,,,,1978,,"Mouthon, J., 1981. Sur la presence en France et au Portugal de Corbicula (Bivalvia, Corbiculidae) originaire d'Asie  Basteria 45, 109  -116.",,Asia,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
6d9335c733f5b78d7ba8cf263fbb9708,Cordylophora caspia,Animalia,Animalia,Cnidaria,,,,species,,Mainland,PT,,,,otherTransport,,,,,,,1980,,"Correia, M., Costa, J., Chainho, P., Félix, P., Chaves, M., Medeiros, J., Silva, G., Azeda, C., Tavares, P., Costa, A., 2012. Inter-annual variations of macrobenthic communities over three decades in a land-locked coastal lagoon (Santo André, SW Portugal). Estuarine, Coastal and Shelf Science 110, 168-175.",,Europe,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
d5028a9aef3ac5374515871a2f025ba0,Crangonyx pseudogracilis,Animalia,Animalia,Arthropoda,,,,species,,Mainland,PT,,,,otherTransport,,,,,,,2011,,"Grabowski, M., Rachalewski, M., Banha, F., Anastacio, P., 2012. Crangonyx pseudogracilis Bousfield, 1958 – the first alien amphipod crustacean in freshwaters of Iberian Peninsula (Portugal). Knowl. Managt. Aquatic Ecosyst., 11.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
86b717731e4a49b77311807534059e7f,Craspedacusta sowerbii,Animalia,Animalia,Cnidaria,,,,species,,Mainland,PT,,,,ornamentalNonHorticulture,,,,,,,1983,,"Gomes-Pereira, J.N., Dionísio, G., 2013. Craspedacusta sowerbii Lankester, 1880 in southern Portugal. Bioinvasions Records 2, 133-136.",,Asia,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
86b717731e4a49b77311807534059e7f,Craspedacusta sowerbii,Animalia,Animalia,Cnidaria,,,,species,,Azores,PT,,,,ornamentalNonHorticulture,,,,,,,2010,,"Raposeiro, P.M., Ramos, J.C., Costa, A.C., 2009. First record of Branchiura sowerbyi Beddard, 1892 (Oligochaeta: Tubificidae) in Azores. Aquat. Invasions 4, 487-490.",,Asia,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
183bf2e499d9dc9c6fcc95ddab39e10e,Cyprinus carpio,Animalia,Animalia,Chordata,,,,species,,Mainland,PT,,,,fisheryInTheWild,,,,,,,1898,,"Almaça, C., 1995. Fish species and varieties introduced into portuguese inland waters.",,Europe,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
183bf2e499d9dc9c6fcc95ddab39e10e,Cyprinus carpio,Animalia,Animalia,Chordata,,,,species,,Azores,PT,,,,fisheryInTheWild,,,,,,,1890,,"Goubier, J., Hoestland, H., Goubier, M., 1983. Recherches biologiques sur la perche (Perca fluviatilis L.) de Sao Miguel (Açores). Cybium 7, 25-49.",,Europe,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
6c05fa637bf0d5e8f6adab6494f6f446,Dactylogyrus anchoratus,Animalia,Animalia,Platyhelminthes,,,,species,,Mainland,PT,,,,otherTransport,,,,,,,2016,,"GBIF, 2016. 2013-07-01. ed. GBIF_Secretariat:_GBIF_Backbone_Taxonomy.",,Asia,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
a27b9d085f82ec1dbeb4818ae1a832cf,Eriocheir sinensis,Animalia,Animalia,Arthropoda,,,,species,,Mainland,PT,,,,ballastWater,,,,,,,1985,,"Cabral, H.N., Costa, M.J., 1999. On the occurrence of the chinese mitten crab, Eriocheir sinensis, in Portugal (Decapoda, Brachyura). Crustaceana 72  55-58.",,Asia,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
36a95cf7e2a67c38388e1e28f0805301,Esox lucius,Animalia,Animalia,Chordata,,,,species,,Mainland,PT,,,,fisheryInTheWild,,,,,,,1950,,"Almaça, C., 1995. Fish species and varieties introduced into portuguese inland waters.",,Europe,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
36a95cf7e2a67c38388e1e28f0805301,Esox lucius,Animalia,Animalia,Chordata,,,,species,,Azores,PT,,,,fisheryInTheWild,,,,,,,1979,,"Goubier, J., Hoestland, H., Goubier, M., 1983. Recherches biologiques sur la perche (Perca fluviatilis L.) de Sao Miguel (Açores). Cybium 7, 25-49.",,Europe,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
32dc2e18733fffa92ba4e1b35d03c4e2,Ferrissia fragilis,Animalia,Animalia,Mollusca,,,,species,,Azores,PT,,,,ornamentalNonHorticulture,,,,,,,2007,,"Raposeiro, P., Costa, A., Martins, A., 2007. Freshwater mollusks of the Azores: a reappraisal, World Congress of Malacology, pp. 175-176.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
1d17b434b113730d1e811c0cf1bf4789,Fundulus heteroclitus,Animalia,Animalia,Chordata,,,,species,,Mainland,PT,,,,ornamentalNonHorticulture,,,,,,,1970,,"Almaça, C., 1995. Fish species and varieties introduced into portuguese inland waters.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
4497da3d5e3ef61d73279635415cfa16,Galba truncatula,Animalia,Animalia,Mollusca,,,,species,,Azores,PT,,,,otherTransport,,,,,,,1920,,"Backhuys, W., 1975. Zoogeography and taxonomy of the land and freshwater molluscs of the Azores. Backhuys & Meesters, Amsterdam.",,Europe,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
85ff0c479c1d6df744e0dc340ae72bb8,Gambusia holbrooki,Animalia,Animalia,Chordata,,,,species,,Mainland,PT,,,,biologicalControl,,,,,,,1931,,"Boto, R., 1932. Distribuição da «Gambusia» em Benavente e Salvaterra de Magos. Trav. Sta. BioL. Mar. Lisbonne 30.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
85ff0c479c1d6df744e0dc340ae72bb8,Gambusia holbrooki,Animalia,Animalia,Chordata,,,,species,,Azores,PT,,,,biologicalControl,,,,,,,2010,,"Florencio, M., Lamelas-López, L., 2016. Threatened pond endemicity on an oceanic island: the presence of an exotic fish. Limnetica 35, 235-242.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
7da3ddcb0ae6672d31240578f2c4f854,Gobio lozanoi,Animalia,Animalia,Chordata,,,,species,,Mainland,PT,,,,fisheryInTheWild,,,,,,,1925,,"Almaça, C., 1995. Fish species and varieties introduced into portuguese inland waters.",,Europe,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
680982d78f7356ba787d86f932b16eec,Graptemys pseudogeographica,Animalia,Animalia,Chordata,,,,species,,Mainland,PT,,,,ornamentalNonHorticulture,,,,,,,2012,,"Martins, A.M.F., 1991. Distribuição dos moluscos de água doce em São Miguel e na Terceira. Açoreana 7, 257-276.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
c251fec7a5a453358404665b84088bde,Gyraulus chinensis,Animalia,Animalia,Mollusca,,,,species,,Mainland,PT,,,,otherTransport,,,,,,,1996,,"De Oliveira, A., 2009. Materiais para o estudo da Malacofauna não-marinha de Portugal. 4. Revisão das espécies aquáticas introduzidas. Noticiario SEM 52, 31-37.",,Asia,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
19c9456259dffea1f932fa1048d67bc2,Gyraulus parvus,Animalia,Animalia,Mollusca,,,,species,,Madeira,PT,,,,otherTransport,,,,,,,1940,,"De Oliveira, A., 2009. Materiais para o estudo da Malacofauna não-marinha de Portugal. 4. Revisão das espécies aquáticas introduzidas. Noticiario SEM 52, 31-37.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
cab16bdde0402702535d82014c391c19,Gyrodactylus salaris,Animalia,Animalia,Platyhelminthes,,,,species,,Mainland,PT,,,,otherTransport,,,,,,,1996,,"Johnston, C., 1996. Occurrence of Gyrodactylus salaris, Marmberg, 1957, in Portugal. Bull. Eur. Ass. Fish Pathol 16, 89.",,Europe,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
3f67c44b431393a1e5cd4fb1098c543f,Ictalurus punctatus,Animalia,Animalia,Chordata,,,,species,,Mainland,PT,,,,fisheryInTheWild,,,,,,,2012,,"Banha, F., Veríssimo, A., Ribeiro, F., Anastácio, P.M., 2017. Forensic reconstruction of Ictalurus punctatus invasion routes using on-line fishermen records. Knowl. Manag. Aquat. Ecosyst., 56.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
50db10822a4e5a4f58264b51507b3af9,Ilyodromus viridulus,Animalia,Animalia,Arthropoda,,,,species,,Mainland,PT,,,,,,,,,,,1996,,"Baltanás, Á., Delgado, A.L., Beroiz, B., 1996. Lista faunística y bibliográfica de los ostrácodos no-marinos (crustacea: ostracoda) de la Península Ibérica, Islas Baleares e Islas Canarias.",,Oceania,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
0d57bb658352d842f86dfca6834276d1,Lepomis gibbosus,Animalia,Animalia,Chordata,,,,species,,Mainland,PT,,,,ornamentalNonHorticulture,,,,,,,1979,,"Sostoa, A.d., Lobon-Cervia, J., Fernandez-Colome, V., Sostoa, F.d., 1987. Distribution of sunfish (Lepomis gibbosus L.) in the Iberian Peninsula. Donana Acta Vertebrata 14, 121-123.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
4ae7897b8d8bf9c8185f5c0d4da2d216,Lernaea cyprinacea,Animalia,Animalia,Arthropoda,,,,species,,Mainland,PT,,,,parasitesOnAnimals,,,,,,,2010,,"Pérez-Bote, J.L., 2010. Barbus comizo infestation by Lernaea cyprinacea (Crustacea: Copepoda) in the Guadiana River, southwestern Spain. Journal of applied Ichthyology 26, 592-595.",,Asia,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
5d7007717ed2e4805fcbe7680f6ef1d3,Micropterus salmoides,Animalia,Animalia,Chordata,,,,species,,Mainland,PT,,,,fisheryInTheWild,,,,,,,1950,,"Ferreira de Lima, M., 1955. O Blackbass e a sua aclimatacao em aguas Portuguesas. Montes.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
5d7007717ed2e4805fcbe7680f6ef1d3,Micropterus salmoides,Animalia,Animalia,Chordata,,,,species,,Azores,PT,,,,fisheryInTheWild,,,,,,,1898,,"Goubier, J., Hoestland, H., Goubier, M., 1983. Recherches biologiques sur la perche (Perca fluviatilis L.) de Sao Miguel (Açores). Cybium 7, 25-49.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
688ab698e2035710b16d7822093a7a12,Mustela vison,Animalia,Animalia,Chordata,,,,species,,Mainland,PT,,,,farmedAnimals,,,,,,,1985,,"Vidal Figueroa, T., Delibes, M., 1987. Primeros datos sobre el visón americano (Mustela vison) en el suroeste de Galicia y noroeste de Portugal. Ecología, 145-152.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
0c929a3c2d8f73ac8fece9c327c527f7,Oncorhynchus mykiss,Animalia,Animalia,Chordata,,,,species,,Mainland,PT,,,,fisheryInTheWild,,,,,,,1900,,"Almaça, C., 1995. Fish species and varieties introduced into portuguese inland waters.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
0c929a3c2d8f73ac8fece9c327c527f7,Oncorhynchus mykiss,Animalia,Animalia,Chordata,,,,species,,Azores,PT,,,,fisheryInTheWild,,,,,,,1941,,"Goubier, J., Hoestland, H., Goubier, M., 1983. Recherches biologiques sur la perche (Perca fluviatilis L.) de Sao Miguel (Açores). Cybium 7, 25-49.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
30865725a1ec2de0238ecbb47367864e,Pacifastacus leniusculus,Animalia,Animalia,Arthropoda,,,,species,,Mainland,PT,,,,fisheryInTheWild,,,,,,,1999,,"Bernardo, J.M., Bruxelas, S., Bochechas, J., Costa, A.M., 2001. Freshwater crayfish in Portugal: a new Astacidae, Pacifastacus leniusculus (Dana), and less perspectives for the rehabilitation of the native Austropotamobius pallipes., 2◦ Congresso Nacional de Conservação da Natureza, CD edition. Instituto de Conservação da Natureza, pp. 1-6.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
bc013910cbdd2d0d963c27a77e5d2974,Pectinatella magnifica,Animalia,Animalia,Bryozoa,,,,species,,Mainland,PT,,,,otherTransport,,,,,,,2015,,"Ribeiro, pers. com.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
82577c8765e55fc6ce5f26278b94d117,Pelophylax perezi,Animalia,Animalia,Chordata,,,,species,,Azores,PT,,,,ornamentalNonHorticulture,,,,,,,1820,,"Malkmus, R., 2004. Amphibians and Reptiles of Portugal, Madeira and the Azores-Archipelago: distribution and natural history notes. Koeltz Scientific Books.",,Europe,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
82577c8765e55fc6ce5f26278b94d117,Pelophylax perezi,Animalia,Animalia,Chordata,,,,species,,Madeira,PT,,,,ornamentalNonHorticulture,,,,,,,1850,,"Malkmus, R., 2004. Amphibians and Reptiles of Portugal, Madeira and the Azores-Archipelago: distribution and natural history notes. Koeltz Scientific Books.",,Europe,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
0121561a1fcfbbf338f95a5d95f48992,Perca fluviatilis,Animalia,Animalia,Chordata,,,,species,,Mainland,PT,,,,fisheryInTheWild,,,,,,,2015,,"Banha, F., Ilhéu, M., Anastácio, P.M., 2015. Angling web forums as an additional tool for detection of new fish introductions: the first record of Perca fluviatilis in continental Portugal. Knowl. Managt. Aquatic Ecosyst., 03.",,Europe,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
0121561a1fcfbbf338f95a5d95f48992,Perca fluviatilis,Animalia,Animalia,Chordata,,,,species,,Azores,PT,,,,fisheryInTheWild,,,,,,,1898,,"Goubier, J., Hoestland, H., Goubier, M., 1983. Recherches biologiques sur la perche (Perca fluviatilis L.) de Sao Miguel (Açores). Cybium 7, 25-49.",,Europe,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
