taxonID,description,type,language
alien-freshwater-fauna-portugal:taxon:6f324938a43c9e5cf6f7c6f6dc52d30c,Europe,native range,en
alien-freshwater-fauna-portugal:taxon:6f83cd5d94324cbabc5287c556780404,Asia,native range,en
alien-freshwater-fauna-portugal:taxon:793d520b66493806a1a2ef2e5781d662,Asia,native range,en
alien-freshwater-fauna-portugal:taxon:7da3ddcb0ae6672d31240578f2c4f854,Europe,native range,en
alien-freshwater-fauna-portugal:taxon:7fd4b48abb8d674661dd63d2a626fd44,Asia,native range,en
alien-freshwater-fauna-portugal:taxon:82577c8765e55fc6ce5f26278b94d117,Europe,native range,en
alien-freshwater-fauna-portugal:taxon:85ff0c479c1d6df744e0dc340ae72bb8,North America,native range,en
alien-freshwater-fauna-portugal:taxon:86b717731e4a49b77311807534059e7f,Asia,native range,en
alien-freshwater-fauna-portugal:taxon:892599dcf435e7bac72cbecf553d81dc,North America,native range,en
alien-freshwater-fauna-portugal:taxon:8bec470dcc174c1b4f743bdc4bc04ea1,Europe,native range,en
alien-freshwater-fauna-portugal:taxon:8ee57e2c26a970661ed712a87463e9e8,Europe,native range,en
alien-freshwater-fauna-portugal:taxon:9495e84453fcde268be8da6cd6130544,South America,native range,en
alien-freshwater-fauna-portugal:taxon:a27b9d085f82ec1dbeb4818ae1a832cf,Asia,native range,en
alien-freshwater-fauna-portugal:taxon:a2ab6a79d2d4147497afd8b40cf943fa,Asia,native range,en
alien-freshwater-fauna-portugal:taxon:a6b7d41c1a3ef1cdf5e86343d6170f2a,Asia,native range,en
alien-freshwater-fauna-portugal:taxon:a7f0a08b6964118423232131d3229f53,North America,native range,en
alien-freshwater-fauna-portugal:taxon:ad6ef633d9bc18930d8894c8e33e9f3a,North America,native range,en
alien-freshwater-fauna-portugal:taxon:af4695539ee8dcb286fcf2e6c12fefa1,North America,native range,en
alien-freshwater-fauna-portugal:taxon:b6379ef1bd96c73c652aaf9366aeb05c,Europe,native range,en
alien-freshwater-fauna-portugal:taxon:bc013910cbdd2d0d963c27a77e5d2974,North America,native range,en
alien-freshwater-fauna-portugal:taxon:c218a947b5591a7b39b626622e899901,Europe,native range,en
alien-freshwater-fauna-portugal:taxon:c251fec7a5a453358404665b84088bde,Asia,native range,en
